	texto	texto_modificado
6058	"2730	no existen cupos suficientes en los hospitales , para atender a todos los que a ellos recurren. se observan muchas negligencias médicas que terminan empeorando  la situación familiar"	existir cupo suficiente hospital  atender recurrir  observar negligencia médico terminar empeorar situación familiar
6059	"2731	""-recuperar y proteger los recursos naturales"	recuperar proteger recurso natural
6060	-principalmente los recursos hidrobiológicos	principalmente recurso hidrobiológico
6061	-agua, bosques nativos, humedales	agua  bosque nativo  humedal
6062	"-recursos minerales y no minerales"""	recurso mineral mineral
6063	"2732	""el sueldo debe responder a las funciones y roles que cumplen en la sociedad"	sueldo responder función rol cumplir sociedad
6064	"reducir la dieta parlamentaria"""	reducir dieta parlamentario
6065	"2733	en la mayoría de las personas presenten del taller, se enfatiza en que es importante trabajar en la disminución en los tiempos de espera y la atención entregada en los recintos hospitalarios"	mayoría persona presentar taller  enfatizar importante trabajar disminución tiempo espera atención entregado recinto hospitalario
6066	"2734	lamentablemente el  aumento del combustible  genera un detrimento en la calidad de vida, sigue y sigue subiendo."	lamentablemente aumento combustible generar detrimento calidad vida  seguir seguir subir
6067	"2735	""más empresas (más fuentes de trabajo)"	empresa  fuente trabajo
6068	preferencia a los chilenos en la oportunidad de trabajo	preferencia chileno oportunidad trabajo
6069	"reactivar la economía nacional"""	reactivar economía nacional
6070	"2736	""es cara, en educación superior."	cara  educación superior
6071	altos aranceles.	alto arancel
6072	créditos universitarios altos.	crédito universitario alto
6073	si no pagan dicon y no hay trabajo.	si pagar dicon trabajo
6074	"gratuidad por mérito y estrato social. """	gratuidad mérito estrato social
6075	"2737	se necesita un cambio urgente en: salud - afp pensiones- educación obtenidas en parte de impuestos al 1% mas rico."	necesitar cambio urgente  salud  afp pensiones educación obtenido parte impuesto   rico
6076	"2738	""- tomas de decisiones pocas certeras frente a lo que estaba sucediendo"	toma decisión certero frente suceder
6077	- políticos que viven fuera de la realidad de la sociedad	político vivir realidad sociedad
6079	"2739	es lo mas importante para todos y no hay buenos hospitales faltan especialistas y mas recursos. los remedios son execibamente caros"	importante buen hospital faltar especialista recurso  remedio execibamente caro
6080	"2740	""cobro de las afp, cambiar el sistema de inversión."	cobro afp  cambiar sistema inversión
6081	"personas que trabajaron tanto reciben muy poco. """	persona trabajar recibir
6082	"2741	""ver al otro y a la sociedad como parte del mismo sistema, del mismo espíritu, hay demasiado individualismo y"	ver sociedad parte mismo sistema  mismo espíritu  demasiado individualismo
6083	- nos falta crecer espiritualmente	faltar crecer espiritualmente
6084	"- reflexionar sobre lo que sucede"""	reflexionar suceder
6085	"2742	proceso de postulación a los colegios, se considera que no es acorde a la realidad educacional del país,  la educación en chile no está preparada para este tipo de procesos, consideran que tienen derecho de elegir el colegio de sus hijos de acuerdo a su realidad social, educacional y económica"	proceso postulación colegio  considerar acordar realidad educacional país  educación chile preparado tipo proceso  considerar derecho elegir colegio hijo acuerdo realidad social  educacional económico
6086	"2743	actualmente nuestras instituciones son corruptas tales como carabineros, ejercito de chile, empresas privadas como eléctricas, de servicio de agua potable y no olvidar las mineras."	actualmente institución corrupto tal carabinero  ejercito chile  empresa privado eléctrico  servicio agua potable olvidar minero
6087	"2744	""-mejorar la atención, mas empatía con los pascientes consultorio qllto y quintero."	mejorar atención  empatía pasciente consultorio qllto quintero
6088	-el derecho a tener salud es	el derecho salud
6089	-la mala salud publica obliga a emigrar a isapre	la malo salud publica obligar emigrar isapre
6090	"-tiempo de espera exceso hospital qllta"""	tiempo esperar exceso hospital qllto
6091	"2745	""falta de especialistas."	falta especialista
6092	falta de medicamentos en la posta.	falta medicamento posta
6093	"existe la necesidad de un hospital completo con todo equipamiento y especialistas."""	existir necesidad hospital completo equipamiento especialista
6094	"2746	""eliminar el sistema de afp y volver al sistema tripartito que rebaje la edad de jubilar"	eliminar sistema afp volver sistema tripartito rebajar edad jubilar
6095	"que se devuelvan los exedentes al usuario o familia"""	devolver exedente usuario familia
6096	"2747	""Criminalice al pueblo, es este el q` esta reclamando"	criminalice pueblo  q reclamar
6097	"No  sabe la realidad de repones. El lo tiene todo"""	saber realidad repón
6098	"2748	""-no hay politicas que motiven a los pobladores andinos a quedarse en sus tierras"	no politica motivar poblador andino quedar tierra
6099	- no hay empleo, no hay casas ni habitabilidad (servicios basicos)	empleo  casa habitabilidad  servicio basico
6100	- no hay conectividad	conectividad
6101	"-ataque depredadores el estado no paga"""	ataque depredador estado pagar
6102	"2749	""es importante mejorar los sueldos para poder ahorrar. plantean financiamiento directo por los bajos sueldos."	importante mejorar sueldo ahorrar  plantear financiamiento directo bajo sueldo
6103	"podría serviu ser el aval. """	serviu aval
6104	"2750	""que mejore la desigualdad de los chilenos."	mejorar desigualdad chileno
6105	generar nuevas oportunidades para un mejor chile.	generar nuevo oportunidad mejor chile
6106	"ayude a entender que las diferencias son aceptables. diga no al abuso"""	ayudar entender diferencia aceptable  decir abuso
6107	"2751	se requiere de pensiones dignas para los ciudadanos que jubilan velando por su bienestar, no así el de las empresas que lucran con este sistema."	requerir pensión digno ciudadano jubilar velar bienestar  así empresa lucrar sistema
6108	"2752	""- tener acceso a una salud mas igualitaria y equitativa"	acceso salud igualitario equitativo
6110	"- remedios mas baratos"""	remedio barato
6111	"2753	No solo de colocarse en el lugar de otro sino de apoyar a quienes tienen los problemas ej: pensiones de personas de la 3ra edad si bien ahora a nosotros  nos afecta en el futuro si puede perjudicarnos"	sólo colocar lugar sino apoyar problema ej  pensión persona ra edad si bien ahora afectar futuro si perjudicar
6112	"2754	mejorar en sus condiciones laborales que  le ofrece calidad de vida laboral y a servicio al usuario mejore"	mejorar condición laboral ofrecer calidad vida laboral servicio usuario mejorar
6113	"2755	que los am sean prioridad y que se mejore la atención en todos los sentidos para ellos"	they prioridad mejorar atención
6114	"2756	para todos lo adultos mayores, aquellos pensionados por afp y por otros sistemas. no les alcanza para vivir dignamente"	adulto mayor  aquel pensionado afp sistema  alcanzar vivir dignamente
6115	"2757	""dar curos y urgencia a las reformas en trámite."	dar curo urgencia reforma trámite
6116	igualdad de edad entre hombre y mujeres.	igualdad edad hombre mujer
6117	"aumentar cotizaciones y edad de jubilación."""	aumentar cotización edad jubilación
6118	"2758	""profesionales con mas vocacion y empatia"	profesional vocacion empatia
6119	"prioridad en atencion por el adulto mayor, embarazadas y niños"""	prioridad atención adulto mayor  embarazado niño
6120	"2759	chile necesita un sistema educacional, acorde a los tiempos. que sea moderna, integral, que asegure la calidad, por lo menos hasta octavo básico. mejorar sueldos y formación de profesores."	chile necesitar sistema educacional  acordar tiempo  moderno  integral  asegurar calidad  menos octavo básico  mejorar sueldo formación profesor
6121	"2760	""profesionales competente y con vocación de servicios"	profesional competente vocación servicio
6122	infraestructura acorde a las necesidades	infraestructura acordar necesidad
6123	"cambio en la constitución que garantiza este d° y las leyes asociadas"""	cambio constitución garantizar d° ley asociado
6124	"2761	mucha población inmigrante desplaza al trabajo para los chilenos, y no todos los inmigrantes realmente aportan."	población inmigrante desplazar trabajo chileno  inmigrante realmente aportar
6125	"2762	""afp partió como una idea que mejoraría la vida de las personas, ahora se ha convertido en lucro."	afp partir idea mejorar vida persona  ahora convertir lucro
6126	no se debería haber traspasado la pérdida a las personas, debería cambiar esto.	traspasar pérdida persona  cambiar
6127	"el sistema de afp debería ser más equitativo cambiar la edad, tasa de mortalidad de afp."""	sistema afp equitativo cambiar edad  tasa mortalidad afp
6128	"2763	""- por ejemplo, en la provincia del huasco se arreglan calles y veredas y se destruyen para nuevamente remodelarlas."	ejemplo  provincia huasco arreglar calle vereda destruir nuevamente remodelar
6129	- mal uso de recursos	mal uso recurso
6130	"- respecto de energias de soporte en caso de emergencia."""	respecto energia soporte caso emergencia
6131	"2764	""- Queremos pensiones dignas"	querer pensión digno
6132	- Salud; sin lista de espera	salud  lista espera
6133	- No + AFP.	afp
6134	"-Regular Registro social de hogares"""	regular registro social hogar
6135	"2765	hoy en dia si un paciente tiene una operación tiene que esperar meses para poder realizarse dicha operación (en el sistema publico)"	hoy día si paciente operación esperar mes realizar dicho operación  sistema público
6136	"2766	dejar de parchar sistema de pensiones que desaparezca las afp y que se haga un nuevo sistema previsional para tener un pensión para vivir"	dejar parchar sistema pensión desaparecer afp nuevo sistema previsional pensión vivir
6137	"2767	es necesario a realizar un cambio de la constitución , dado que no responde a las necesidades o realidades de las personas"	necesario realizar cambio constitución  dado responder necesidad realidad persona
6138	"2768	""pensiones dignas, nos dijeron una cosa y la realidad es otra (70% v/s 30%)"	pensión digno  decir cosa realidad    vr
6139	"viviendas sociales para quienes han trabajado en la comuna"""	vivienda social trabajar comuna
6140	"2769	""en zonas rurales es muy precaria."	zona rural precario
6141	mucha negligencia.	negligencia
6142	faltan recursos, faltan profesionales.	faltar recurso  faltar profesional
6143	mejores sueldos para funcionarios.	mejor sueldo funcionario
6144	"falta de empatia de funcionarios."""	falta empatia funcionario
6145	"2770	en la educación, en la salud, la economía para el pueblo, en los sueldos, dignidad para los ancianos, los discapacitados"	educación  salud  economía pueblo  sueldo  dignidad anciano  discapacitado
6146	"2771	""mayor acceso y cobertura."	mayor acceso cobertura
6147	no más listas de espera. *vocación profesional.	lista espera  vocación profesional
6148	atención digna. *mas humana y ética.	atención digno   humano ético
6149	Prioridad A.mayor	prioridad amayor
6150	"prioridad al adulto mayor."""	prioridad adulto mayor
6151	"2772	""subir la pension"	subir pensión
6152	falta de remediosp.	falta remediosp
6153	"solo a los que tienen es p.b.s dejando a la cotizante de ---- --- ----------  """	sólo pbes dejar cotizante
6154	"2773	""el gobierno debe ceder y hacer las cosas como se debe y no lo"	gobierno ceder cosa
6155	"que se ha realizado.( como aumento de pensiones a mayores de 80 años), modelo no sirve sistema de pensiones afp, sin ser obligatorio, en acceder a ."""	realizar   aumento pensión mayor  año   modelo servir sistema pensión afp  obligatorio  acceder
6156	"2774	salud deficiente. hospitales sin insumos. profesionales de la salud en paro, pero no atienden las urgencias de la gente. hay que pagar y caro para que a uno lo atiendan bien. debería ser la misma calidad en público y privado porque todos pagamos impuestos"	salud deficiente  hospital insumo  profesional salud paro  atender urgencia gente  pagar caro atender bien  mismo calidad público privado pagar impuesto
6157	"2775	""no existen protocolo para recibit enfermedades o virus (corona virus o ebola) ya que en chile no existen laboratorios tipo 5"	existir protocolo recibit enfermedad virus  corona virus ebola  chile existir laboratorio tipo
6158	"mejorar listas de espera """	mejorar lista espera
6159	"2776	existen pensiones muy bajas, luego de años cotizando, generando una situación de pobreza en las personas jubiladas"	existir pensión baja  luego año cotizar  generar situación pobreza persona jubilado
6160	"2777	en la salud faltan medicos, ademas existe poco compromiso en la atencion de los pacientes. se debe entregar mas presupuestos para cubrir las prestaciones, ademas existe mucho abuso en el sistema de salud."	salud faltar medico  además existir compromiso atención paciente  entregar presupuesto cubrir prestación  además existir abuso sistema salud
6161	"2778	""publica sin fines de lucro, que exista fiscalizado"	publicar fin lucro  existir fiscalizado
6162	"demora en el pago de las becas para los estudiantes. """	demora pago beca estudiante
6163	"2779	sea de calidad, y que permita que todos ya sean de escasos recursos o con mayores recursos puedan acceder a la misma educación."	calidad  permitir escaso recurso mayor recurso acceder mismo educación
6164	"2780	""mejorar la salud y atenciones medicas."	mejorar salud atención medico
6165	recibir un buen trato por el personal de salud.	recibir buen trato personal salud
6166	"cambio en el metodo de sacar horas medicas para la atencion."""	cambio metodo sacar hora medico atención
6167	"2781	""colusión de las farmacias"	colusión farmacia
6168	medicamentos caros, diferencias de precios	medicamento caro  diferencia precio
6169	"listas de espera, gente que muere esperando."""	lista espera  gente morir esperar
6170	"2782	""los items de mayor participación para los parientes."	item mayor participación pariente
6171	"temas que al día de hoy no están solucionados i mucho menos para todos de manera eficiente y eficaz"""	tema día hoy solucionado i menos manera eficiente eficaz
6172	"2783	""mejorar las listas de espera para las atenciones."	mejorar lista espera atención
6173	pago de licencias médicas se retrasa mucho.	pago licencia médico retrasar
6174	"medicamentos muy caros y no se utilizan los bioequivalentes."""	medicamento caro utilizar bioequivalente
6175	"2784	se debe legislar para que todos los ciudadanos tengan una pensión digna al momento de jubilarse"	legislar ciudadano pensión digno momento jubilar
6176	"2785	las pensiones son muy bajas y muy poco equitativas, aunque la gente impone muy poco tiempo, hay que incentivar a que impongan mas"	pensión baja equitativo  aunque gente imponer tiempo  incentivar imponer
6177	"2786	no alcanza para vivir. el costo de la vida está muy caro para lograr pasar el mes con el sueldo mínimo."	alcanzar vivir  costo vida caro lograr pasar mes sueldo mínimo
6178	"2787	no se han hecho los esfuerzos para actualizarse tecnológicamente para poder mejorar y optimizar los recursos naturales como el agua. indap debe generar mejores formas de invertir bien el recurso de dinero."	esfuerzo actualizar tecnológicamente mejorar optimizar recurso natural agua  indap generar mejor forma invertir bien recurso dinero
6179	"2788	digno y a todos quienes lo necesiten que se privilegien las personas de cada localidad y se exploten los recurso."	digno necesitar privileger persona cada localidad explotar recurso
6180	"2789	que este sea un bien de uso para todos y que además tomen las necesidades de las gente y puedan usar medios de contención para que el agua y sea utilizada por la gente."	bien uso además tomar necesidad gente usar medio contención agua utilizar gente
6181	"2790	que las personas que han trabajado toda la vida tengan la seguridad de una pensión digna suficiente para cubrir sus necesidades"	persona trabajar vida seguridad pensión digno suficiente cubrir necesidad
6182	"2791	se requiere mayor protección laboral a la gran cantidad de funcionarios que trabajan de manera continua en el aparato público, y generar proyección personal y eficiencia en las polìticas públicas (evitar votación)"	requerir mayor protección laboral gran cantidad funcionario trabajar manera continuo aparato público  generar proyección personal eficiencia polìtica público  evitar votación
6183	"2792	se requiere mayor protección laboral a la gran cantidad de funcionarios que trabajan de manera continua en el aparato público, y generar proyección personas y eficiencia  en las políticas públicas (evitar votacion)"	requerir mayor protección laboral gran cantidad funcionario trabajar manera continuo aparato público  generar proyección persona eficiencia política público  evitar votacion
6184	"2793	falta de especialistas, vivimos en una zona con más de 7000 habitantes donde se requiere la atención de estas en am especialmente"	falta especialista  vivir zona  habitante requerir atención am especialmente
6185	"2794	que las leyes sean cumplidas por los ciudadanos, ya que cuando ocurren vandalismo en las calles toman detenida a la persona pero al paso de las horas los liberan, que sean aplicables de manera como para el ciudadano como para carabineros."	ley cumplir ciudadano  ocurrir vandalismo calle tomar detenido persona paso hora liberar  aplicable manera ciudadano carabinero
6186	"2795	""Se necesita no sé: un servicio nacional más sólido o un ministerio que tenga más poder. es necesario que las leyes de discapacidad sean financiadas para que sean exigibles."	necesitar saber  servicio nacional sólido ministerio  necesario ley discapacidad financiar exigible
6187	"la ley no garantiza nada si no hay financiamiento. """	ley garantizar si financiamiento
6188	"2796	respeto por todas las personas que han vivido ancestralmente en este territorio, no se sienten parte de la historia del país"	respeto persona vivir ancestralmente territorio  sentir parte historia país
6189	"2797	""las vecinas señalan que existen enfermedades que no estan en el auge."	vecino señalar existir enfermedad auge
6190	- valor de los medicamentos	valor medicamento
6191	- eliminar lista espera y hoas médicas	eliminar lista esperar hoa médico
6192	"- especialidades en regiones"""	especialidad región
6193	"2798	falta de fiscalizadores en ambito donde no se respeta 1 aspecto de la ley 21015. (c/100 pers. debe contratarse a 1 discapacitado) discriminación y falta de esparción laboral e inclusión"	falta fiscalizador ambito respetar  aspecto ley    c pers  contratar  discapacitado  discriminación falta esparción laboral inclusión
6194	"2799	""- Mala, las personas sin recursos no pueden acceder."	mala  persona recurso acceder
6195	- Atención muy limitada para pocos.	atención limitado
6196	- No hay especialistas	especialista
6197	"- Salud como lucro para algunos."""	salud lucro alguno
6198	"2800	""- Todos los jovenes educación gratis"	joven educación gratis
6199	- Eliminación de la PSU	eliminación psu
6200	-Eliminación sistema de tombolas.	eliminación sistema tombola
6201	"- Educación gratuita y de calidad"""	educación gratuito calidad
6202	"2801	""- se necesita igualdad entre las mujeres y hombres"	necesitar igualdad mujer hombre
6203	"-muchas cosas a favor de hombres, que hay que cambiar"""	mucho cosa favor hombre  cambiar
6204	"2802	""-falta de especialistas"	falta especialista
6205	-falta la implementación	faltar implementación
6206	-falta un centro oncologico	faltar centro oncologico
6207	-falta atención prioritaria adulto mayor	falto atención prioritario adulto mayor
6208	"-falta centro traumatologico"""	falto centro traumatologico
6209	"2803	""- la salud  carece de calidad"	salud carecer calidad
6210	-falta profesionalismo por parte de los trabajadores de la salud	falto profesionalismo parte trabajador salud
6211	"-alta rotación de profesionales"""	alto rotación profesional
6212	"2804	""falta de especialistas"	falta especialista
6213	falta de implementacion	falta implementación
6214	falta un centro oncologico	faltar centro oncologico
6215	falta atencion prioritaria para el adulto mayor	faltar atención prioritario adulto mayor
6216	falta centro traumatologico	faltar centro traumatologico
6218	"2805	""-solo mejoría pensiones básicas solidarias"	solo mejoría pensión básico solidario
6219	-las pérdidas  de afp sean traspasada nuevamente en la institución administradora.	la pérdida afp traspasar nuevamente institución administrador
6220	"-las afp tengan una nueva formula de calculo."""	la afp nuevo formula calculo
6221	"2806	atraso en la atencion de urgencia y las horas medicas solo enfermos postrados se le ayuda a los familiares, siendo que el cuidado es a diario."	atraso atención urgencia hora medico sólo enfermo postrado ayudar familiar  cuidado diario
6222	"2807	""no es un sistema igualitario. la gente debe levantarse temprano a hacer fila para conseguir hora y muchas veces no alcanza"	sistema igualitario  gente levantar temprano fila conseguir hora vez alcanzar
6223	costos muy elevados	costo elevado
6224	"pocos especialistas"""	especialista
6225	"2808	""""""chile requiere de educación de calidad, necesitamos tener acceso a ella, sin dejar de lado la historia y el deporte"""""""	chile requerir educación calidad  necesitar acceso  dejar lado historia deporte
6226	"2809	el estado debe eliminar las barreras a los deportistas al momento de solicitar apoyo económico. ademas hace falta difusión de las actividades que se desarrollan en la región de aysén y en el país, ya que la gente que quiere hacer deporte avece no sabe que actividades se están llevando a cabo."	estado eliminar barrera deportista momento solicitar apoyo económico  además falta difusión actividad desarrollar región aysén país  gente querer deporte avecer saber actividad llevar cabo
6227	"2810	que el tener que estar pagando arriendo ,no permite que alcance para ahorrar para postular a la casa propia , y que las facilidades son solo para los mas vulnerables y no para la clase media"	pagar arrir  permitir alcanzar ahorrar postular casa propio  facilidad sólo vulnerable clase medio
6228	"2811	cuando se crearon las afp, se mintió. se dijo que las pensiones serian el 70% del sueldo."	crear afp  mentir  decir pensión   sueldo
6229	"2812	para que se de calidad, equiparar la cancha para que todos tengamos acceso y mas oportunidades para todos. educacion enos estandarizada."	calidad  equiparar cancha acceso oportunidad  educación enos estandarizado
6230	"2813	se menciona como necesidad país una salud y educación gratuita y de calidad para todos, sin filtros ni selecciones1"	mencionar necesidad país salud educación gratuito calidad  filtro selección
6231	"2814	retomar la confianza para trabajar tranquilo y sin miedo, y disminuir los costos para movilizarme y realizar mi trabajo (impuesto específico, tag, peajes, partes injustos, etc)"	retomar confianza trabajar tranquilo miedo  disminuir costo movilizar realizar trabajo  impuesto específico  tag  peaje  parte injusto  etcétera
6232	"2815	en mi caso mi hijo. ejemplo: en una carrera de 5 años, la estara terminando en 7 años mas menos"	caso hijo  ejemplo  carrera  año  terminar  año menos
6233	"2816	justicia por las pen no es posible que adultos mayores tengan que vivir con $20000 mensuales"	justicia pen posible adulto mayor vivir  mensual
6234	"2817	""debe haber más estabilidad laboral, mejores sueldos."	estabilidad laboral  mejor sueldo
6235	"mejor atención mejorar la salud, pública, hacerla más eficiente """	mejor atención mejorar salud  público  eficiente
6236	"2818	""-se deben recuperar los recursos naturales. que vuelvan a ser del país."	yse recuperar recurso natural  volver país
6237	"- una de la prioridad es el agua"""	prioridad agua
6238	"2819	que el presidente utilice los medios necesarios para controlar el orden publico, les de el respaldo a carabineros y militares para mantener (la paz) el orden debe salirce de los derechos humanos."	presidente utilizar medio necesario controlar orden público  respaldo carabinero militar mantener  paz  orden salir ce derecho humano
6239	"2820	los tiempos de espera son muy altos, no hay criterio para entregar atención de urgencia, agilizar los tiempos de atención, altos costos"	tiempo espera alto  criterio entregar atención urgencia  agilizar tiempo atención  alto costo
6240	"2821	""ejemp. pensiones para los adultos mayores"	ejemp  pensión adulto mayor
6241	"- que se transmita a las personas que están siendo escuchados"""	transmitir persona escuchar
6242	"2822	""un sistema previsional mas justo, con un monto 1"	sistema previsional justo  monto
6243	de pensión cercano al sueldo como trabajador, y	pensión cercano sueldo trabajador
6244	"solidario """	solidario
6245	"2823	""en personal atiende en consultorio y hospitales"	personal atender consultorio hospital
6246	atienden mal	atender mal
6247	no respetan	respetar
6248	"mejorar la calidad de atención"""	mejorar calidad atención
6249	"2824	""vivir en zona rural dificil acceso a la locomoción y mucho esperar, el"	vivir zona rural difícil acceso locomoción esperar
6250	"chofer de locomocion colectiva"""	chofer locomocion colectivo
6251	"2825	""- no existe una escucha activa de la real necesidad de las personas"	existir escucha activo real necesidad persona
6252	- escasa oferta laboral  e pcd	escaso oferta laboral pcd
6253	- demasiada burocracia	demasiado burocracia
6254	"- barreras permanentes"""	barrera permanente
6255	"2826	falta de respeto a las fuerzas armadas hace que nos sintamos inseguras. fue malo que quitarle atribuciones a carabineros"	falta respeto fuerza armado sintar inseguro  malo quitar atribución carabinero
6256	"2827	""Listas de espera hay personas que fallecen esperando una atención."	listas espera persona fallecer esperar atención
6257	los médicos prefieren la salud privada por sobre la atención publica	médico preferir salud privado atención publica
6258	no hay vocación	vocación
6259	"El Estado a privatizado el sistema"""	estado privatizado sistema
6260	"2828	""- todo es para los muy pobres o los muy ricos"	pobre rico
6261	- sueldos para poder vivir sin deudas	sueldo vivir deuda
6262	"- se trabaja toda la vida por una miseria"""	trabajar vida miseria
6263	"2829	para mejorar la calidad de vida. educar a las generaciones futuras en relación a la discapacidad para que las personas pueden empalizar y sensibilizar. que sea más accesibles"	mejorar calidad vida  educar generación futuro relación discapacidad persona empalizar sensibilizar  accesible
6264	"2830	que la creacion de la nueva constitución, incluya paridad de genero y a los pueblos originarios / sus derechos"	creación nuevo constitución  incluir paridad genero pueblo originario  derecho
6265	"2831	el actual sistema de salud no es expedito, sobre todo en lo que refiere a la iniciación de tratamientos y operaciones quirúrgicas."	actual sistema salud expedito  referir iniciación tratamiento operación quirúrgico
6266	"2832	""mas oportunidades de trabajo"	oportunidad trabajo
6267	"que pueden ser brindadas por las empresas que llegan a sectores mas apartados """	brindar empresa llegar sector apartado
6268	"2833	porque hay mucha desigualdad entre la clase media y alta que los recursos sean de los chilenos y que no hayan peajes"	desigualdad clase medio alto recurso chileno peaje
6269	"2834	la gente se muere esperando, el problema no es la atención en si misma, es poder llegar a la atención, menos listas de esperas"	gente morir esperar  problema atención si mismo  llegar atención  menos lista espera
6270	"2835	""-priorizar el sector público"	priorizar sector público
6271	-falta especialistas	falto especialista
6272	-infraestructura	infraestructura
6273	-sistema de urgencia baja	sistema urgencia bajo
6274	"-implementar cesfam (rurales) y recursos """	implementar cesfam  rural  recurso
6275	"2836	""-tiempo de espera excesivos para horas médicas, dentista."	tiempo espera excesivo hora médico  dentista
6276	-costo de los medicamentos es muy alto	costo medicamento alto
6277	-trato indigno, no, se respetan las horas de atención	trato indigno   respetar hora atención
6278	"-regulación costo medicamento."""	regulación costo medicamento
6279	"2837	""cambiar la edad """"tasa"""""	cambiar edad   tasa
6280	"mejor remuneracion y por lo menos sacar, el 25% de su imposición"""	mejor remuneración menos sacar    imposición
6281	"2838	hay escases de especialistas en centros hospitalarios y una baja disponibilidad de tomar horas médicas, y por lo que las personas deben viajar a otras regiones para ser atendidas"	escase especialista centro hospitalario bajo disponibilidad tomar hora médico  persona viajar región atender
6282	"2839	""remedios caros"	remedio caro
6283	alta colusión	alto colusión
6284	deficit de remedios en hospital público	deficit remedio hospital público
6285	"hija esperó 7 años por atención en hospital público"""	hija esperar  año atención hospital público
6286	"2840	"". el acceso a la salud es muy complicado."	acceso salud complicado
6287	".la mayoria de los chilenos somos fonasa, pero hay especialistas que no estan, solo particular, por lo mismo lograr la atención que uno necesita."""	mayoria chileno fonasa  especialista  sólo particular  mismo lograr atención necesitar
6288	"2841	""- poco recurso del estado  a los hospitales"	recurso estado hospital
6289	"los profesionales que trabajan en hospitales no son bien pagados y se van a clinicas privadas """	profesional trabajar hospital bien pagado clínico privado
6290	"2842	""salud a nivel pais falta muchos especialistas a traves de geriatria en la 7 region pediatras."	salud nivel país faltar especialista través geriatria  región pediatra
6291	"educar a los padres en primer lugar al respeto en comun y mutuo"""	educar padre primero lugar respeto comun mutuo
6292	"2843	""- mala calidad de atención por parte de los funcionarios."	malo calidad atención parte funcionario
6293	"-falta de especialistas en los centros de salud rurales."""	falta especialista centro salud rural
6294	"2844	fuc para sacar hora las 8:30 y no puede tener número. debo ir ala 6:00 para tener número. acá la parte rural es peor"	fuc sacar hora  número  ala  número  acá parte rural peor
6295	"2845	""muy bajas implica que adultos mayores tengan que volver a trabar o esten confinados a sus hogares"	baja implicar adulto mayor volver trabar confinado hogar
6296	"cambio de sistema de pensiones """	cambio sistema pensión
6297	"2846	""falta de medicamento"	falta medicamento
6298	falta de horas medicas	falta hora medico
6299	falta de profesionales especialistas	falta profesional especialista
6300	"falta de implementos basicos para una atencion digna """	falta implemento basico atención digno
6301	"2847	""-mayor agilidad en los tiempos de respuesta a las consultas"	mayor agilidad tiempo respuesta consulta
6302	-más especialistas en la zona	más especialista zona
6303	"-mayor disponibilidad de remedios en hospitales y postas"""	mayor disponibilidad remedio hospital posta
6304	"2848	acceso a una educación digna y que sea un alcance para todos, con desigualdad de derechos. equilibrio"	acceso educación digno alcance  desigualdad derecho  equilibrio
6305	"2849	""-recursos limitados para las postas rurales, largas listas para implementos como muletas, etc."	recurso limitado posta rural  largo lista implemento muleta  etc
6306	-no existe seguimiento mantención de profesionales a domicilio para la tercera edad	no existir seguimiento mantención profesional domicilio tercero edad
6307	"-inequidad de profesionales para la población existente"""	inequidad profesional población existente
6308	"2850	porque las pensiones son bajas y no alcanza a cubrir las necesidades básicas como gastos médicos, alimentación, gastos comunes"	pensión baja alcanzar cubrir necesidad básico gasto médico  alimentación  gasto común
6309	"2851	muy bajas y es injusto que una persona cumpla con imponer toda su vida laboral y gane una miseria de jubilación."	baja injusto persona cumplir imponer vida laboral ganar miseria jubilación
6310	"2852	""acceso a slaud/lista de espera"	acceso slaudlista espera
6311	aumento de prestaciones de salud	aumento prestación salud
6312	farmacia	farmacia
6313	faltan horas medicas/profesionales especialistas	faltar hora medico profesional especialista
6314	mas atención primaria	atención primario
6315	la salud dental para adultos mayores no es pertinente	salud dental adulto mayor pertinente
6316	"ampliar cobertura dental en sistema de salud.1"""	ampliar cobertura dental sistema salud
6317	"2853	""mejorar sistema afp"	mejorar sistema afp
6318	disminuir edad de esperanza de vida.	disminuir edad esperanza vida
6319	requisitos para pensión  de invalidez.	requisito pensión invalidez
6320	"aumentar montos para que permitan cubrir necesidades aumentar sueldos para mejorar pensiones. """	aumentar monto permitir cubrir necesidad aumentar sueldo mejorar pensión
6321	"2854	""es tan plata que se ahorra y poco al momento de jubilar."	plata ahorrar momento jubilar
6322	"la gente mayor se empobrece aún más"""	gente mayor empobrecer aún
6323	"2855	""que se rebaje los impuestos a las pequeñas empresas y profesionales ."	rebajar impuesto pequeño empresa profesional
6324	"no discriminar a las clases sociales en lo ..."""	discriminar clase social
6325	"2856	""-mayor cantidad de viviendas sociales que permitan tener la casa propia"	mayor cantidad vivienda social permitir casa propio
6326	"-regulación en precios de viviendas privadas"""	regulación precio vivienda privado
6327	"2857	""-Valores inflados en precios de viviendas"	valor inflado precio vivienda
6328	- El acceder a créditos de vivienda	acceder crédito vivienda
6329	"- El tramo de los subsidios"""	tramo subsidio
6330	"2858	""es muy caro tratamientos muy costosos"	caro tratamiento costoso
6331	no es porque los adultos mayores tengan que hacer filas para pedir horas en los hospitales.	adulto mayor fila pedir hora hospital
6332	listas de espera muy largas	lista espera largo
6333	"- medicamentos muy caros"""	medicamento caro
6334	"2859	""-escasez de especialistas"	escasez especialista
6335	-mejores atenciones	mejor atención
